,Code,Country,1970,1980,1990,2000,2010,2015,2020,2022,Area (km2),Density (2022),GrowthRate,World Population Percentage,Rank
151,PRK,North Korea,14997000000,17974000000,20800000000,23367000000,24686000000,25258000000,25867000000,26069000000,120538,216.2755,1.0,0.33,56
152,MKD,North Macedonia,1657000000,1907000000,2044000000,2038000000,2094000000,2108000000,2111000000,2094000000,25713,81.4218,1.0,0.03,150
153,MNP,Northern Mariana Islands,10000000,18000000,48000000,80000000,54000000,52000000,50000000,50000000,464,106.7909,1.0,0.0,210
154,NOR,Norway,3876000000,4086000000,4242000000,4491000000,4890000000,5190000000,5380000000,5434000000,323802,16.7828,1.01,0.07,120
155,OMN,Oman,671000000,1017000000,1805000000,2344000000,2882000000,4192000000,4543000000,4576000000,309500,14.7861,1.01,0.06,127
156,PAK,Pakistan,59291000000,80624000000,115414000000,154370000000,194454000000,210969000000,227197000000,235825000000,881912,267.4018,1.02,2.96,5
157,PLW,Palau,11000000,12000000,15000000,20000000,19000000,18000000,18000000,18000000,459,39.3355,1.0,0.0,222
158,PSE,Palestine,1118000000,1454000000,2125000000,3140000000,3992000000,4485000000,5019000000,5250000000,6220,844.063,1.02,0.07,122
159,PAN,Panama,1516000000,1957000000,2450000000,3002000000,3624000000,3957000000,4294000000,4409000000,75417,58.4561,1.01,0.06,128
160,PNG,Papua New Guinea,2489000000,3105000000,3865000000,5508000000,7583000000,8682000000,9750000000,10143000000,462840,21.9139,1.02,0.13,93
161,PRY,Paraguay,2409000000,3079000000,4059000000,5124000000,5769000000,6178000000,6619000000,6781000000,406752,16.6705,1.01,0.09,109
162,PER,Peru,13562000000,17492000000,22109000000,26654000000,29230000000,30712000000,33305000000,34050000000,1285216,26.4933,1.01,0.43,44
163,PHL,Philippines,37436000000,48420000000,61559000000,77958000000,94637000000,103031000000,112191000000,115559000000,342353,337.5434,1.01,1.45,13
164,POL,Poland,32483000000,35521000000,38064000000,38504000000,38597000000,38553000000,38428000000,39857000000,312679,127.4698,1.04,0.5,37
165,PRT,Portugal,8684000000,9785000000,10007000000,10301000000,10588000000,10365000000,10298000000,10271000000,92090,111.5307,1.0,0.13,92
166,PRI,Puerto Rico,2738000000,3215000000,3544000000,3827000000,3718000000,3497000000,3272000000,3252000000,8870,366.675,1.0,0.04,136
167,QAT,Qatar,118000000,277000000,442000000,646000000,1714000000,2415000000,2760000000,2695000000,11586,232.6189,1.0,0.03,143
168,COG,Republic of the Congo,1397000000,1829000000,2385000000,3134000000,4438000000,5064000000,5702000000,5970000000,342000,17.4574,1.02,0.07,114
169,REU,Reunion,474000000,552000000,659000000,785000000,890000000,922000000,958000000,974000000,2511,387.914,1.01,0.01,161
170,ROU,Romania,19923000000,22125000000,22836000000,21920000000,20335000000,19906000000,19442000000,19659000000,238391,82.4665,1.02,0.25,64
171,RUS,Russia,130093000000,138257000000,148006000000,146845000000,143243000000,144668000000,145617000000,144713000000,17098242,8.4636,1.0,1.81,9
172,RWA,Rwanda,3896000000,5248000000,7320000000,8110000000,10309000000,11643000000,13146000000,13777000000,26338,523.0731,1.02,0.17,76
173,BLM,Saint Barthelemy,2000000,3000000,5000000,7000000,9000000,10000000,11000000,11000000,21,522.2381,1.01,0.0,228
174,KNA,Saint Kitts and Nevis,45000000,43000000,41000000,45000000,47000000,48000000,48000000,48000000,261,182.5939,1.0,0.0,211
175,LCA,Saint Lucia,103000000,122000000,142000000,160000000,171000000,176000000,179000000,180000000,616,291.9756,1.0,0.0,190
176,MAF,Saint Martin,6000000,8000000,28000000,30000000,36000000,35000000,33000000,32000000,53,599.8302,1.0,0.0,220
177,SPM,Saint Pierre and Miquelon,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,242,24.2231,1.0,0.0,229
178,VCT,Saint Vincent and the Grenadines,98000000,107000000,112000000,114000000,109000000,106000000,105000000,104000000,389,267.2185,1.0,0.0,199
179,WSM,Samoa,143000000,165000000,168000000,184000000,195000000,204000000,215000000,222000000,2842,78.2484,1.02,0.0,188
